categoryName,kind,familyName,typeName,typeId,paramName,storageType,dataType,isReadOnly,value,display,note
構造フレーム,structural_frame,RC_B,FG13,111557,D_bar_spacing,String,autodesk.spec:spec.string-2.0.0,FALSE,D10,D10,
構造フレーム,structural_frame,RC_B,FG13,111557,D_bar_spacing_end_forList,String,autodesk.spec:spec.string-2.0.0,TRUE,D10,D10,
構造フレーム,structural_frame,RC_B,FG13,111557,D_bar_spacing_start_forList,String,autodesk.spec:spec.string-2.0.0,TRUE,D10,D10,
構造フレーム,structural_frame,RC_B,FG13,111557,D_main,String,autodesk.spec:spec.string-2.0.0,FALSE,D25,D25,中央の主筋径
構造フレーム,structural_frame,RC_B,FG13,111557,D_main_bottom_end_forList,String,autodesk.spec:spec.string-2.0.0,TRUE,D25,D25,
構造フレーム,structural_frame,RC_B,FG13,111557,D_main_bottom_forList,String,autodesk.spec:spec.string-2.0.0,TRUE,D25,D25,
構造フレーム,structural_frame,RC_B,FG13,111557,D_main_bottom_start_forList,String,autodesk.spec:spec.string-2.0.0,TRUE,D25,D25,
構造フレーム,structural_frame,RC_B,FG13,111557,D_main_end,String,autodesk.spec:spec.string-2.0.0,FALSE,D25,D25,終点側の主筋径
構造フレーム,structural_frame,RC_B,FG13,111557,D_main_start,String,autodesk.spec:spec.string-2.0.0,FALSE,D25,D25,始端側の主筋径
構造フレーム,structural_frame,RC_B,FG13,111557,D_stirrup,String,autodesk.spec:spec.string-2.0.0,FALSE,D13,D13,あばら筋の径
構造フレーム,structural_frame,RC_B,FG13,111557,D_stirrup_end_forList,String,autodesk.spec:spec.string-2.0.0,TRUE,D13,D13,
構造フレーム,structural_frame,RC_B,FG13,111557,D_stirrup_start_forList,String,autodesk.spec:spec.string-2.0.0,TRUE,D13,D13,
構造フレーム,structural_frame,RC_B,FG13,111557,D_sub_bottom_end_forList,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
構造フレーム,structural_frame,RC_B,FG13,111557,D_sub_bottom_forList,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
構造フレーム,structural_frame,RC_B,FG13,111557,D_sub_bottom_start_forList,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
構造フレーム,structural_frame,RC_B,FG13,111557,D_sub_top_end_forList,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
構造フレーム,structural_frame,RC_B,FG13,111557,D_sub_top_forList,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
構造フレーム,structural_frame,RC_B,FG13,111557,D_sub_top_start_forList,String,autodesk.spec:spec.string-2.0.0,FALSE,,,
構造フレーム,structural_frame,RC_B,FG13,111557,D_web,String,autodesk.spec:spec.string-2.0.0,FALSE,D10,D10,腹筋の径
構造フレーム,structural_frame,RC_B,FG13,111557,D_web_end_forList,String,autodesk.spec:spec.string-2.0.0,TRUE,D10,D10,
構造フレーム,structural_frame,RC_B,FG13,111557,D_web_start_forList,String,autodesk.spec:spec.string-2.0.0,TRUE,D10,D10,
構造フレーム,structural_frame,RC_B,FG13,111557,FamilyVersion,String,autodesk.spec:spec.string-2.0.0,TRUE,R22.1.1,R22.1.1,
構造フレーム,structural_frame,RC_B,FG13,111557,IFC に書き出し(タイプ),Integer,,FALSE,0,既定,
